epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,1.611946,0.359255,0.159731,1.543216,0.380479,0.252969
2,1.421471,0.429413,0.332083,1.144216,0.600737,0.589896
3,1.240021,0.505202,0.475237,0.934031,0.634622,0.658751
4,1.139087,0.549265,0.538121,0.799565,0.697606,0.710976
5,1.065231,0.578798,0.573019,0.698894,0.73186,0.751331
6,1.015726,0.599261,0.597444,0.648651,0.753223,0.775134
7,0.97276,0.617273,0.617282,0.604178,0.753223,0.77902
8,0.933262,0.636317,0.636875,0.521769,0.817311,0.833398
9,0.901075,0.649084,0.650038,0.521028,0.799632,0.822478
10,0.875773,0.662626,0.665292,0.486988,0.812523,0.835618
11,0.845572,0.672599,0.676811,0.51709,0.79116,0.811232
12,0.832208,0.681756,0.686664,0.473571,0.828729,0.843583
13,0.808788,0.689064,0.692928,0.435471,0.838674,0.848142
14,0.792641,0.695512,0.701973,0.394662,0.856722,0.867482
15,0.776025,0.703422,0.706823,0.385529,0.85488,0.87049
