episode,epsilon,average_reward
1.0,0.3,-1.107919
2.0,0.289583,-1.06151
3.0,0.279167,-1.023941
4.0,0.26875,-1.001842
5.0,0.258333,-0.967587
6.0,0.247917,-0.970166
7.0,0.2375,-0.958011
8.0,0.227083,-0.937753
9.0,0.216667,-0.935543
10.0,0.20625,-0.896869
11.0,0.195833,-0.952118
12.0,0.185417,-0.897974
13.0,0.175,-0.920074
14.0,0.164583,-0.915654
15.0,0.154167,-0.927072
16.0,0.14375,-0.883241
17.0,0.133333,-0.893923
18.0,0.122917,-0.896501
19.0,0.1125,-0.903499
20.0,0.102083,-0.859669
21.0,0.091667,-0.882505
22.0,0.08125,-0.853039
23.0,0.070833,-0.8593
24.0,0.060417,-0.854512
25.0,0.05,-0.848987
